rank,book_id,title,author,total_score,score_reasoning,pd_status,pd_reasoning
1,the-thirty-nine-steps__buchan-john__1915,The Thirty-Nine Steps,"Buchan, John",76.35,"Strong genre and visual fit for a period spy thriller with solid audience appeal, but leans more toward classic adventure than dark contemporary noir, and offers limited franchise potential.",confirmed,"'The Thirty-Nine Steps' was published 1915; the author died 1940. Both the 95-years-from-publication ceiling (17 U.S.C. 304, expired 2011) and the life+70 ceiling (17 U.S.C. 302(a), expired 2011) have passed, so this is public domain regardless of country of first publication or URAA restoration status."
2,hound-of-the-baskervilles__doyle-arthur-conan__1902,Hound of the Baskervilles,"Doyle, Arthur Conan",75.0,"Strong visual and atmospheric fit for A24's sensibilities with exceptional name recognition, but the structured mystery-solve and period setting diverge from modern noir thriller conventions the mandate targets.",confirmed,"'Hound of the Baskervilles' was published 1902 as a United States work (confirmed domestic first publication), so URAA restoration (17 U.S.C. 104A) does not apply to it. The 95-year term from publication (17 U.S.C. 304) expired Jan 1, 1998."
3,the-murders-in-the-rue-morgue__poe-edgar-allan__1841,The Murders in the Rue Morgue,"Poe, Edgar Allan",72.45,"Strong visual and budget fit with canonical name recognition, but the cerebral 19th-century mystery structure lacks the dark, morally-complex noir edge and serializable franchise DNA the mandate seeks.",confirmed,"'The Murders in the Rue Morgue' was published 1841 as a United States work (confirmed domestic first publication), so URAA restoration (17 U.S.C. 104A) does not apply to it. The 95-year term from publication (17 U.S.C. 304) expired Jan 1, 1937."
4,arsene-lupin-gentleman-cambrioleur__leblanc-maurice__1907,"Arsène Lupin, gentleman-cambrioleur","Leblanc, Maurice",72.0,"A visually adaptable, franchise-rich crime classic with strong period appeal and character recognition, but its lighthearted roguish tone and European setting misalign with the mandate's dark, small-town noir-thriller specificity.",confirmed,"'Arsène Lupin, gentleman-cambrioleur' was published 1907; the author died 1941. Both the 95-years-from-publication ceiling (17 U.S.C. 304, expired 2003) and the life+70 ceiling (17 U.S.C. 302(a), expired 2012) have passed, so this is public domain regardless of country of first publication or URAA restoration status."
5,the-strange-case-of-dr-jekyll-and-mr-hyde__stevenson-robert-louis__1875,The strange case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",70.0,"Jekyll and Hyde is a celebrated classic with excellent name recognition, gothic-noir DNA, and budget-appropriate scale, but its closed narrative arc and psychological-over-investigative focus somewhat limit franchise potential and modern audience alignment.",confirmed,"'The strange case of Dr. Jekyll and Mr. Hyde' was published 1875; the author died 1894. Both the 95-years-from-publication ceiling (17 U.S.C. 304, expired 1971) and the life+70 ceiling (17 U.S.C. 302(a), expired 1965) have passed, so this is public domain regardless of country of first publication or URAA restoration status."
6,arsene-lupin-contre-herlock-sholmes__leblanc-maurice__1906,Arsène Lupin contre Herlock Sholmès,"Leblanc, Maurice",69.5,"A stylish period heist-mystery with strong franchise appeal and visual adaptability, but the elegant Belle Époque tone, budget implications, and protagonist archetype align only moderately with A24's dark noir thriller mandate.",confirmed,"'Arsène Lupin contre Herlock Sholmès' was published 1906; the author died 1941. Both the 95-years-from-publication ceiling (17 U.S.C. 304, expired 2002) and the life+70 ceiling (17 U.S.C. 302(a), expired 2012) have passed, so this is public domain regardless of country of first publication or URAA restoration status."
7,mr-standfast__buchan-john__1918,Mr. Standfast,"Buchan, John",69.5,"Mr. Standfast offers solid spy-thriller bones and period intrigue suited to A24's visual sensibility, but its earnest patriotic tone, dated class dynamics, and literary obscurity place it below the mandate's dark noir requirements.",confirmed,"'Mr. Standfast' was published 1918; the author died 1940. Both the 95-years-from-publication ceiling (17 U.S.C. 304, expired 2014) and the life+70 ceiling (17 U.S.C. 302(a), expired 2011) have passed, so this is public domain regardless of country of first publication or URAA restoration status."
8,the-mystery-of-edwin-drood__dickens-charles__1870,The Mystery of Edwin Drood,"Dickens, Charles",69.5,"A visually rich Victorian noir-thriller with strong psychological tension and Gothic atmosphere that aligns well with A24's sensibility, though its literary pedigree and unresolved mystery may limit commercial appeal and franchise potential.",confirmed,"'The Mystery of Edwin Drood' was published 1870; the author died 1870. Both the 95-years-from-publication ceiling (17 U.S.C. 304, expired 1966) and the life+70 ceiling (17 U.S.C. 302(a), expired 1941) have passed, so this is public domain regardless of country of first publication or URAA restoration status."
9,the-hound-of-the-baskervilles__doyle-arthur-conan__1900,The Hound of the Baskervilles,"Doyle, Arthur Conan",68.5,"Strong visual and budget fit with high name recognition, but the gothic-detective genre doesn't align tightly with noir-thriller mandate, and the period/character type may skew older than A24's core audience.",confirmed,"'The Hound of the Baskervilles' was published 1900; the author died 1930. Both the 95-years-from-publication ceiling (17 U.S.C. 304, expired 1996) and the life+70 ceiling (17 U.S.C. 302(a), expired 2001) have passed, so this is public domain regardless of country of first publication or URAA restoration status."
10,the-valley-of-fear__doyle-arthur-conan__1914,The Valley of Fear,"Doyle, Arthur Conan",68.5,"A classic detective novel with strong budget fit and franchise potential, but its cerebral, procedural tone and aging protagonist make it an imperfect match for A24's core indie-thriller audience seeking dark, contemporary noir.",confirmed,"'The Valley of Fear' was published 1914; the author died 1930. Both the 95-years-from-publication ceiling (17 U.S.C. 304, expired 2010) and the life+70 ceiling (17 U.S.C. 302(a), expired 2001) have passed, so this is public domain regardless of country of first publication or URAA restoration status."
